name,id,week,place,left,image_path,label
Brian,brian,1,29,yes,./men_img/brian.png,Week 1
Cam,cam,1,23,,./men_img/cam.png,Week 1
Chasen,chasen,1,26,yes,./men_img/chasen.png,Week 1
Connor J,connorj,1,24,,./men_img/connorj.png,Week 1
Connor S,connors,1,22,,./men_img/connors.png,Week 1
Daron,daron,1,20,,./men_img/daron.png,Week 1
Devin,devin,1,19,,./men_img/devin.png,Week 1
Dustin,dustin,1,21,,./men_img/dustin.png,Week 1
Dylan,dylan,1,18,,./men_img/dylan.png,Week 1
Garrett,garrett,1,17,,./men_img/garrett.png,Week 1
Grant,grant,1,16,,./men_img/grant.png,Week 1
Hunter,hunter,1,27,yes,./men_img/hunter.png,Week 1
Jed,jed,1,15,,./men_img/jed.png,Week 1
Joe,joe,1,25,yes,./men_img/joe.png,Week 1
Joey,joey,1,14,,./men_img/joey.png,Week 1
John Paul Jones,jpj,1,12,,./men_img/jpj.png,Week 1
Jonathan,jonathan,1,13,,./men_img/jonathan.png,Week 1
Kevin,kevin,1,10,,./men_img/kevin.png,Week 1
Luke P,lukep,1,11,,./men_img/lukep.png,Week 1
Luke S,lukes,1,9,,./men_img/lukes.png,Week 1
Matt Donald,mattdonald,1,22,yes,./men_img/mattdonald.png,Week 1
Matteo,matteo,1,8,,./men_img/matteo.png,Week 1
Matthew,matthew,1,7,,./men_img/matthew.png,Week 1
Mike,mike,1,6,,./men_img/mike.png,Week 1
Peter,peter,1,5,,./men_img/peter.png,Week 1
Ryan,ryan,1,30,yes,./men_img/ryan.png,Week 1
Scott,scott,1,4,,./men_img/scott.png,Week 1
Thomas,thomas,1,28,yes,./men_img/thomas.png,Week 1
Tyler C,tylerc,1,2,,./men_img/tylerc.png,Week 1
Tyler G,tylerg,1,1,,./men_img/tylerg.png,Week 1
Brian,brian,2,1,,./men_img/brian.png,Week 2
Cam,cam,2,2,,./men_img/cam.png,Week 2
Chasen,chasen,2,3,,./men_img/chasen.png,Week 2
