name,id,week,place,left,image_path,Week
Hannah Ann,hannahann,1,1,,./women_img/hannahann.png,Week 1
Victoria P.,victoriap,1,2,,./women_img/victoriap.png,Week 1
Madison ,madison,1,3,,./women_img/madison.png,Week 1
Kelley,kelley,1,4,,./women_img/kelley.png,Week 1
Lexi,lexi,1,5,,./women_img/lexi.png,Week 1
Savannah,savannah,1,6,,./women_img/savannah.png,Week 1
Lauren,lauren,1,7,,./women_img/lauren.png,Week 1
Tammy,tammy,1,8,,./women_img/tammy.png,Week 1
Alayah,alayah,1,9,,./women_img/alayah.png,Week 1
Sydney,sydney,1,10,,./women_img/Sydney.png,Week 1
Natasha,natasha,1,11,,./women_img/natasha.png,Week 1
McKenna,mykenna,1,12,,./women_img/mykenna.png,Week 1
Deandra,deandra,1,13,,./women_img/deandra.png,Week 1
Sarah,sarah,1,14,,./women_img/Sarah.png,Week 1
Alexa,alexa,1,15,,./women_img/Alexa.png,Week 1
Kelsey,kelsey,1,16,,./women_img/kelsey.png,Week 1
Peyton,peyton,1,17,,./women_img/peyton.png,Week 1
Kiarra,kiarra,1,18,,./women_img/Kiarra.png,Week 1
Courtney,courtney,1,19,,./women_img/Courtney.png,Week 1
Shiann,shiann,1,20,,./women_img/Shiann.png,Week 1
Victoria F.,victoriaf,1,21,,./women_img/Victoriaf.png,Week 1
Avonlea,avonlea,1,22,Yes,./women_img/Avonlea.png,Week 1
Eunice,eunice,1,23,Yes,./women_img/eunice.png,Week 1
Jade,jade,1,24,Yes,./women_img/jade.png,Week 1
Jenna,Jenna,1,25,Yes,./women_img/Jenna.png,Week 1
Katrina,katrina,1,26,Yes,./women_img/katrina.png,Week 1
Kylie,kyle,1,27,Yes,./women_img/Kylie.png,Week 1
Maurissa,maurissa,1,28,Yes,./women_img/maurissa.png,Week 1
Kelley,kelley,2,1,,./women_img/kelley.png,Week 2
Madison ,madison,2,2,,./women_img/madison.png,Week 2
Mykenna,mykenna,2,3,,./women_img/mykenna.png,Week 2
Victoria P.,victoriap,2,4,,./women_img/victoriap.png,Week 2
Netasha,natasha,2,5,,./women_img/natasha.png,Week 2
Jasmine,jasmine,2,6,,./women_img/jasmine.png,Week 2
Sarah,sarah,2,7,,./women_img/sarah.png,Week 2
Lexi,lexi,2,8,,./women_img/lexi.png,Week 2
Hannah Ann,hannahann,2,9,,./women_img/hannahann.png,Week 2
Alexa,alexa,2,10,,./women_img/alexa.png,Week 2
Tammy,tammy,2,11,,./women_img/tammy.png,Week 2
Alayah,alayah,2,12,,./women_img/alayah.png,Week 2
Deandra,deandra,2,13,,./women_img/deandra.png,Week 2
Victoria F.,victoriaf,2,14,,./women_img/victoriaf.png,Week 2
Shiann,shiann,2,15,,./women_img/shiann.png,Week 2
Kiarra,kiarra,2,16,,./women_img/kiarra.png,Week 2
Savannah,savannah,2,17,,./women_img/savannah.png,Week 2
Kelsey,kelsey,2,18,,./women_img/kelsey.png,Week 2
Courtney,courtney,2,19,Yes,./women_img/courtney.png,
Lauren,lauren,2,20,Yes,./women_img/lauren.png,
Peyton,peyton,2,21,Yes,./women_img/peyton.png,
