contestant,season,name,name_group,tot,row
13_JONATHAN_T,13,JONATHAN,JOHN,15,1
12_JONATHAN_H,12,JONATHAN,JOHN,15,2
11_CHRIS_S,11,CHRIS,CHRIS,15,1
11_JONATHAN_H,11,JONATHAN,JOHN,15,3
10_CHRIS_S,10,CHRIS,CHRIS,15,2
09_CHRIS_S,9,CHRIS,CHRIS,15,3
09_JONATHAN_V,9,JONATHAN,JOHN,15,4
08_CHRIS_B,8,CHRIS,CHRIS,15,4
08_JOHN_W,8,JOHN,JOHN,15,5
07_CHRIS_D,7,CHRIS,CHRIS,15,5
07_CHRIS_M,7,CHRIS,CHRIS,15,6
07_JON_E,7,JON,JOHN,15,6
06_CHRIS_L,6,CHRIS,CHRIS,15,7
06_CHRIS_N,6,CHRIS,CHRIS,15,8
06_JONATHAN_N,6,JONATHAN,JOHN,15,7
06_JOHN_C,6,JOHN,JOHN,15,8
06_CHRIS_H,6,CHRIS,CHRIS,15,9
06_JOHN_N,6,JOHN,JOHN,15,9
05_JOHN_H,5,JOHN,JOHN,15,10
05_JOHN_P,5,JOHN,JOHN,15,11
04_CHRISTOPHER_B,4,CHRISTOPHER,CHRIS,15,10
04_JONATHAN_K,4,JONATHAN,JOHN,15,12
03_CHRIS_M,3,CHRIS,CHRIS,15,11
03_CHRIS_C,3,CHRIS,CHRIS,15,12
02_CHRIS_X,2,CHRIS,CHRIS,15,13
01_CHRIS_X,1,CHRIS,CHRIS,15,14
14_CHRIS,14,CHRIS,CHRIS,15,15
14_JOHN,14,JOHN,JOHN,15,13
15_JOHN_PJ,15,JOHN,JOHN,15,14
15_JONATHAN,15,JONATHAN,JOHN,15,15
11_RYAN_B,11,RYAN,RYAN,14,1
11_RYAN_M,11,RYAN,RYAN,14,2
08_RYAN_B,8,RYAN,RYAN,14,3
07_RYAN_P,7,RYAN,RYAN,14,4
07_RYAN_M,7,RYAN,RYAN,14,5
07_RYAN_M,7,RYAN,RYAN,14,6
04_RYAN_H,4,RYAN,RYAN,14,7
03_RYAN_SH,3,RYAN,RYAN,14,8
03_RYAN_SM,3,RYAN,RYAN,14,9
