dog_name,gender,n
Bella,F,766
Princess,F,574
Lola,F,549
Lucy,F,514
Daisy,F,506
Coco,F,440
Molly,F,413
Chloe,F,329
Maggie,F,316
Ginger,F,303
Lady,F,291
Roxy,F,274
Sophie,F,271
Lily,F,255
Lulu,F,251
Ruby,F,246
Sasha,F,238
Cookie,F,232
Zoe,F,209
Luna,F,204
Sandy,F,201
Mia,F,194
Baby,F,191
Penny,F,182
Stella,F,177
Rosie,F,173
Sadie,F,169
Honey,F,165
Diamond,F,162
Bailey,F,159
Precious,F,158
Missy,F,146
Zoey,F,143
Gracie,F,140
Emma,F,134
Angel,F,130
Pebbles,F,126
Gigi,F,123
Madison,F,122
Lucky,F,111
Minnie,F,111
Roxie,F,111
Samantha,F,110
Abby,F,109
Mimi,F,109
Lexi,F,108
Nina,F,106
Pepper,F,105
Lilly,F,103
Layla,F,101
Foxy,F,98
Brandy,F,95
Sugar,F,94
Nena,F,91
Phoebe,F,91
Belle,F,90
Olive,F,90
Maya,F,89
Holly,F,88
Sheba,F,86
Casey,F,84
Misty,F,82
Trixie,F,81
Nala,F,78
Ellie,F,77
Oreo,F,77
Ella,F,74
Mocha,F,74
Nikki,F,73
Annie,F,72
Katie,F,71
Cocoa,F,70
Betty,F,68
Sophia,F,68
Xena,F,67
Star,F,66
Dixie,F,65
Shadow,F,65
Brooklyn,F,64
Amber,F,63
Jessie,F,63
Sally,F,63
Bonnie,F,62
Hazel,F,62
Isabella,F,62
Sassy,F,61
Jackie,F,60
Muffin,F,59
Candy,F,58
Cindy,F,58
Diva,F,57
Scout,F,57
Millie,F,56
Willow,F,56
Kiki,F,55
Peaches,F,55
Tiffany,F,55
Dakota,F,54
Jasmine,F,54
Kelly,F,52
Cassie,F,51
Fiona,F,51
Fluffy,F,51
Riley,F,51
Charlotte,F,50
Lexie,F,50
Chelsea,F,48
Cleo,F,48
Cinnamon,F,47
Miss,F,47
Peanut,F,47
Buffy,F,46
Charlie,F,46
Maddie,F,46
Delilah,F,45
Brownie,F,44
Chanel,F,44
Dolly,F,44
Dutchess,F,44
Tina,F,44
Winnie,F,44
Olivia,F,43
Pumpkin,F,43
Pearl,F,42
Bambi,F,41
Bianca,F,41
Jade,F,41
Linda,F,41
Crystal,F,40
Grace,F,40
Heidi,F,40
Lacey,F,40
Piper,F,40
Tootsie,F,40
Brandi,F,39
Paris,F,39
Tallulah,F,39
Tinkerbell,F,39
Beauty,F,38
Suzie,F,38
Tara,F,38
Gypsy,F,37
Maxine,F,37
Penelope,F,37
Shelby,F,37
Fifi,F,36
Goldie,F,36
Josie,F,36
Midnight,F,36
Queenie,F,36
Athena,F,35
Bubbles,F,35
Jada,F,35
Jenny,F,35
Harley,F,34
Mabel,F,34
Mindy,F,34
Snowball,F,34
Storm,F,34
Summer,F,34
Cleopatra,F,33
Emily,F,33
Georgia,F,33
Izzy,F,33
Remy,F,33
Roxanne,F,33
Sky,F,33
Susie,F,33
Bebe,F,32
Destiny,F,32
Happy,F,32
Mandy,F,32
Matilda,F,32
Patches,F,32
Maxie,F,31
Suki,F,31
Sunshine,F,31
Cali,F,30
Callie,F,30
Chiquita,F,30
Ebony,F,30
Koko,F,30
Mollie,F,30
Pixie,F,30
Snow,F,30
Tiny,F,30
Ava,F,29
Betsy,F,29
Buttons,F,29
Hannah,F,29
Sammy,F,29
Shea,F,29
Buttercup,F,28
Chi-Chi,F,28
Isis,F,28
Joy,F,28
Nellie,F,28
Sam,F,28
Sweetie,F,28
Abigail,F,27
Faith,F,27
Gucci,F,27
Kayla,F,27
Miley,F,27
Rose,F,27
Savannah,F,27
Tess,F,27
Ally,F,26
Angie,F,26
Hershey,F,26
