dog_name,gender,n
Max,M,991
Rocky,M,680
Lucky,M,599
Buddy,M,593
Charlie,M,531
Jack,M,349
Teddy,M,297
Toby,M,296
Buster,M,292
Gizmo,M,291
Jake,M,274
Prince,M,239
Bailey,M,231
Cody,M,221
Coco,M,219
Milo,M,217
Oliver,M,213
Oreo,M,199
Oscar,M,186
Sammy,M,185
Rusty,M,177
Shadow,M,175
Leo,M,174
Duke,M,169
Sparky,M,168
Cooper,M,163
Sam,M,159
Rex,M,158
Bear,M,155
Rocco,M,155
Mickey,M,149
Romeo,M,147
Snoopy,M,142
Benji,M,135
Henry,M,135
Bruno,M,132
Maximus,M,132
Tyson,M,130
Spike,M,126
Louie,M,125
King,M,124
Benny,M,121
Joey,M,119
Dexter,M,117
Brownie,M,116
Chico,M,115
Diesel,M,113
Simba,M,112
Samson,M,110
George,M,108
Jackson,M,107
Peanut,M,107
Zeus,M,106
Bandit,M,102
Bentley,M,102
Murphy,M,102
Riley,M,101
Blue,M,100
Chester,M,100
Winston,M,100
Harry,M,98
Smokey,M,97
Tiger,M,97
Baxter,M,96
Jasper,M,96
Baby,M,94
Frankie,M,91
Harley,M,89
Chance,M,85
Fluffy,M,85
Petey,M,85
Mr.,M,84
Tucker,M,84
Hudson,M,83
Scooby,M,82
Spanky,M,82
Champ,M,81
Cosmo,M,81
Ace,M,80
Gus,M,80
Bosco,M,79
Casper,M,79
Rudy,M,78
Bobby,M,77
Roscoe,M,77
Junior,M,76
Hunter,M,74
Sir,M,71
Lucas,M,69
Rufus,M,69
Brooklyn,M,68
Pepper,M,68
Yogi,M,68
Casey,M,66
Elvis,M,66
Marley,M,66
Simon,M,66
Chewy,M,65
Niko,M,63
Sonny,M,63
Chase,M,62
Dino,M,62
Luke,M,62
Fred,M,61
Ziggy,M,61
Apollo,M,60
Maxwell,M,60
Rambo,M,59
Ollie,M,58
Otto,M,58
Archie,M,57
Monty,M,57
Otis,M,57
Billy,M,56
Gucci,M,56
Hershey,M,56
Mikey,M,56
Sebastian,M,56
Snowball,M,56
Dante,M,55
Eddie,M,55
Pepe,M,55
Willie,M,55
Hercules,M,54
Logan,M,53
Miles,M,53
Scooter,M,53
Skippy,M,53
Spencer,M,53
Sunny,M,53
Boomer,M,52
Kobe,M,52
Tony,M,52
Andy,M,51
Angel,M,51
Ozzy,M,51
Brutus,M,50
Blackie,M,49
Louis,M,49
Scrappy,M,49
Duncan,M,48
Taz,M,48
Tommy,M,48
Barney,M,47
Mac,M,47
Nemo,M,47
Jojo,M,46
Luca,M,46
Ricky,M,46
Scruffy,M,46
Beau,M,45
Dutch,M,45
Nino,M,45
Alfie,M,44
Chip,M,44
Nicky,M,44
Parker,M,44
Dusty,M,43
Ernie,M,43
Happy,M,43
Mugsy,M,43
Nico,M,43
Patches,M,43
Spot,M,43
Bo,M,42
Jimmy,M,42
Charley,M,41
Diego,M,41
Polo,M,41
Biscuit,M,40
Hank,M,40
Onyx,M,40
Ralph,M,40
Tank,M,40
Thor,M,40
Ben,M,39
Boo,M,39
Jay,M,39
Jerry,M,39
Jeter,M,39
Remy,M,39
Shaggy,M,39
Bubba,M,38
Cookie,M,38
Dylan,M,38
Mason,M,38
Napoleon,M,38
Rascal,M,38
Benjamin,M,37
Bernie,M,37
Brody,M,37
Mojo,M,37
Scout,M,37
Bam,M,36
Biggie,M,36
Butch,M,36
Caesar,M,35
Loki,M,35
Reggie,M,35
Ringo,M,35
Alex,M,34
Clyde,M,34
Rico,M,34
Theo,M,34
Tiny,M,34
Bruce,M,33
Fritz,M,33
Stewie,M,33
TJ,M,33
Tyler,M,33
Wally,M,33
Bobo,M,32
Brady,M,32
Chewie,M,32
Dakota,M,32
Hugo,M,32
Midnight,M,32
Mocha,M,32
Moose,M,32
Cash,M,31
Jax,M,31
Kane,M,31
Kirby,M,31
Nikko,M,31
Snow,M,31
Snowy,M,31
Angus,M,30
Bingo,M,30
Bugsy,M,30
Domino,M,30
Freddy,M,30
Macho,M,30
Ranger,M,30
Shorty,M,30
Stanley,M,30
Stitch,M,30
Woody,M,30
Homer,M,29
JJ,M,29
Joe,M,29
Pancho,M,29
Quincy,M,29
Seamus,M,29
Snickers,M,29
Toto,M,29
Willy,M,29
Buttons,M,28
Chocolate,M,28
Finn,M,28
Lenny,M,28
Papi,M,28
Puffy,M,28
Harvey,M,27
Luigi,M,27
Mister,M,27
Paco,M,27
Rosco,M,27
Tigger,M,27
Walter,M,27
Wilbur,M,27
Dudley,M,26
Franklin,M,26
Jesse,M,26
Koko,M,26
Ozzie,M,26
Peter,M,26
Tito,M,26
Trouble,M,26
Arthur,M,25
Black,M,25
Bogart,M,25
Chucky,M,25
CJ,M,25
Cocoa,M,25
Jazz,M,25
Jordan,M,25
Pookie,M,25
Tango,M,25
Theodore,M,25
Zeke,M,25
Baci,M,24
Blaze,M,24
Bob,M,24
Busta,M,24
Dash,M,24
Griffin,M,24
Guinness,M,24
Murray,M,24
Nathan,M,24
Odie,M,24
Pablo,M,24
Pete,M,24
Reilly,M,24
Rocket,M,24
Astro,M,23
Big,M,23
Felix,M,23
Moe,M,23
Mylo,M,23
Noah,M,23
Watson,M,23
Yoda,M,23
Yoshi,M,23
Austin,M,22
Bebe,M,22
Ceasar,M,22
Eli,M,22
Jacob,M,22
Major,M,22
Mookie,M,22
Neo,M,22
Red,M,22
Rocko,M,22
Taco,M,22
Troy,M,22
Zorro,M,22
Barkley,M,21
Blu,M,21
