COUNTRY,achievement,affection,bonding,enjoy_the_moment,exercise,leisure,nature
Afghanistan,57,8,8,0,0,8,17
Albania,10,38,44,4,0,4,0
Algeria,25,25,33,8,0,8,0
American Samoa,31,38,0,15,0,15,0
Argentina,17,17,33,0,0,33,0
Armenia,40,47,0,13,0,0,0
Australia,27,19,12,25,3,13,2
Austria,35,47,6,6,0,0,6
Bahamas,0,100,0,0,0,0,0
Bangladesh,23,16,3,55,0,1,1
Barbados,50,33,0,17,0,0,0
Belgium,17,50,8,17,0,8,0
Brazil,42,28.000000000000004,9,14.000000000000002,0,7.000000000000001,1
Bulgaria,52,16,0,22,0,7.000000000000001,1
Canada,38,23,14.000000000000002,10,1,10,3
Chile,33,17,33,17,0,0,0
Colombia,31,22,12,19,0,9,6
Costa Rica,0,67,0,33,0,0,0
Croatia,33,50,0,17,0,0,0
Cyprus,33,33,33,0,0,0,0
Czech Republic,50,17,33,0,0,0,0
Denmark,31,22,6,12,2,22,6
Dominican Republic,59,8,4,20,6,4,0
Ecuador,67,33,0,0,0,0,0
Egypt,25,23,40,9,0,4,0
El Salvador,33,0,0,67,0,0,0
Estonia,67,0,33,0,0,0,0
Ethiopia,33,67,0,0,0,0,0
Finland,38,43,10,10,0,0,0
France,43,33,14.000000000000002,4,0,4,2
Gambia,17,17,50,17,0,0,0
Germany,15,49,11,21,0,1,2
Ghana,67,0,0,0,0,33,0
Greece,33,24,19,14.000000000000002,0,10,0
Guatemala,33,17,17,17,0,17,0
Hong Kong,67,33,0,0,0,0,0
Iceland,44,44,11,0,0,0,0
India,26,39,14.000000000000002,12,1,8,1
Indonesia,49,26,14.000000000000002,8,0,3,0
Iraq,100,0,0,0,0,0,0
Ireland,13,63,3,7.000000000000001,0,3,10
Israel,33,33,0,0,0,33,0
Italy,42,19,14.000000000000002,8,3,14.000000000000002,0
Jamaica,52,32,5,7.000000000000001,0,5,0
Japan,27,27,27,7.000000000000001,0,13,0
Kazakhstan,33,33,0,33,0,0,0
Kenya,24,21,30,15,0,9,0
"Korea, Republic of",33,0,0,33,0,33,0
Kuwait,17,67,11,6,0,0,0
Latvia,0,67,0,33,0,0,0
Lithuania,45,14.000000000000002,14.000000000000002,17,0,10,0
Macao,39,28.000000000000004,6,28.000000000000004,0,0,0
"Macedonia, the Former Yugoslav Republic of",41,26,12,9,2,10,1
Malaysia,53,20,7.000000000000001,7.000000000000001,0,13,0
Malta,22,56.00000000000001,11,0,0,11,0
Mauritius,0,67,0,33,0,0,0
Mexico,34,37,9,11,1,8,0
"Moldova, Republic of",22,28.000000000000004,36,6,3,6,0
Morocco,33,17,17,17,0,17,0
Nepal,67,33,0,0,0,0,0
Netherlands,47,33,0,13,0,0,7.000000000000001
New Zealand,44,22,11,19,0,3,0
Nicaragua,40,33,20,7.000000000000001,0,0,0
Nigeria,52,32,7.000000000000001,6,0,2,0
Norway,67,0,0,33,0,0,0
Pakistan,18,59,8,5,0,5,5
Peru,39,17,25,11,0,8,0
Philippines,53,28.000000000000004,5,9,0,6,0
Poland,40,47,0,0,0,13,0
Portugal,32,33,12,7.000000000000001,1,14.000000000000002,0
Puerto Rico,40,7.000000000000001,13,13,3,23,0
Romania,52,24,17,2,0,4,0
Russian Federation,27,10,0,47,0,7.000000000000001,10
Saint Kitts and Nevis,56.00000000000001,0,0,11,0,33,0
Saudi Arabia,33,33,0,0,0,33,0
Serbia,35,39,9,6,4,3,3
Singapore,50,17,8,8,0,17,0
Slovenia,17,33,0,33,0,17,0
South Africa,33,48,0,10,0,10,0
Spain,42,25,17,4,0,8,4
Sri Lanka,50,8,25,17,0,0,0
Suriname,33,0,0,0,0,67,0
Sweden,48,37,7,4,0,0,4
Taiwan,22,33,0,33,0,11,0
Thailand,23,21,18,9,9,14,6
Trinidad and Tobago,56.99999999999999,27,3,10,0,3,0
Tunisia,33,0,0,67,0,0,0
Turkey,49,24,2,10,2,10,4
Turks and Caicos Islands,0,50,17,17,0,17,0
Uganda,44,33,11,0,0,0,11
Ukraine,33,67,0,0,0,0,0
United Arab Emirates,36,33,0,19,0,11,0
United Kingdom,36,24,9,20,2,6,4
United States,35,33,10,11,1,7.000000000000001,2
United States Minor Outlying Islands,53,33,7.000000000000001,0,7.000000000000001,0,0
Uruguay,43,10,5,19,0,19,5
US Virgin Islands,0,100,0,0,0,0,0
Venezuela,33,41,12,7,1,6,1
Viet Nam,40,25,12,17,2,4,0
Zambia,67,33,0,0,0,0,0
